seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
2,cka,partition3,all0,all1,0.427450,0.582972,0.295686,0.633955,0.807548,0.352104
2,unbiased_cka,partition3,all0,all1,0.426258,0.539615,0.294652,0.631234,0.770244,0.351533
2,cknna,partition3,all0,all1,0.028856,0.491804,0.056957,0.518898,0.203483,0.039401
2,svcca,partition3,all0,all1,0.541746,0.581794,0.466374,0.254393,0.693806,0.552323
2,edit_distance_knn,partition3,all0,all1,0.751170,0.793362,0.751890,0.783194,0.758325,0.751409
3,cycle_knn,partition1,shape,digit,0.032500,0.714655,0.073500,0.017067,0.171250,0.037574
3,mutual_knn,partition1,shape,digit,0.003660,0.155948,0.008740,0.001735,0.022325,0.004097
3,lcs_knn,partition1,shape,digit,0.008000,0.333621,0.019700,0.004139,0.046000,0.009766
3,cka,partition1,shape,digit,0.127821,0.267789,0.030102,0.000347,0.551306,0.204633
3,unbiased_cka,partition1,shape,digit,0.126973,0.266090,0.029393,0.000000,0.544215,0.207548
3,cknna,partition1,shape,digit,0.002739,0.193091,0.007324,0.001306,0.017153,0.003176
3,svcca,partition1,shape,digit,0.179618,0.342321,0.150060,0.031141,0.358799,0.205397
3,edit_distance_knn,partition1,shape,digit,0.750040,0.767155,0.750270,0.750065,0.750750,0.750126
3,cycle_knn,partition2,shape_digit,shape_color,0.080300,0.856034,0.153600,0.151181,0.210750,0.083147
3,mutual_knn,partition2,shape_digit,shape_color,0.010180,0.248707,0.020850,0.018885,0.031000,0.010468
3,lcs_knn,partition2,shape_digit,shape_color,0.026200,0.517241,0.047800,0.045201,0.066750,0.025298
3,cka,partition2,shape_digit,shape_color,0.382358,0.395995,0.191201,0.441938,0.383439,0.421903
3,unbiased_cka,partition2,shape_digit,shape_color,0.381829,0.391728,0.190665,0.440492,0.374946,0.421585
3,cknna,partition2,shape_digit,shape_color,0.007774,0.300459,0.018275,0.015817,0.024485,0.008332
3,svcca,partition2,shape_digit,shape_color,0.336301,0.470757,0.331969,0.560773,0.422308,0.376988
3,edit_distance_knn,partition2,shape_digit,shape_color,0.750360,0.774483,0.750630,0.750698,0.751125,0.750344
