seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
5,cycle_knn,0.3333333333333333,0.733854,0.744098,0.690976
5,mutual_knn,0.3333333333333333,0.232932,0.317556,0.158771
5,lcs_knn,0.3333333333333333,0.429463,0.619951,0.336390
5,cka,0.3333333333333333,0.878769,0.904005,0.735517
5,unbiased_cka,0.3333333333333333,0.878506,0.904011,0.735245
5,cknna,0.3333333333333333,0.241780,0.454550,0.211864
5,svcca,0.3333333333333333,0.770403,0.794159,0.721756
5,edit_distance_knn,0.3333333333333333,0.763922,0.784449,0.765849
5,cycle_knn,1.0,0.920927,-1.000000,0.946829
5,mutual_knn,1.0,0.646966,-1.000000,0.697551
5,lcs_knn,1.0,1.021415,-1.000000,1.243073
5,cka,1.0,0.988667,-1.000000,0.981627
5,unbiased_cka,1.0,0.988638,-1.000000,0.981579
5,cknna,1.0,0.647183,-1.000000,0.786590
5,svcca,1.0,0.805155,-1.000000,0.816522
5,edit_distance_knn,1.0,0.800571,-1.000000,0.829815
5,cycle_knn,0.6666666666666666,0.782098,0.647707,0.503219
5,mutual_knn,0.6666666666666666,0.307717,0.462220,0.094873
5,lcs_knn,0.6666666666666666,0.523366,0.891610,0.205122
5,cka,0.6666666666666666,0.983322,0.924362,0.497594
5,unbiased_cka,0.6666666666666666,0.983318,0.924386,0.497139
5,cknna,0.6666666666666666,0.307670,0.678164,0.157579
5,svcca,0.6666666666666666,0.757151,0.536210,0.562828
5,edit_distance_knn,0.6666666666666666,0.766341,0.814610,0.760673
5,cycle_knn,0.0,-1.000000,0.739024,-1.000000
5,mutual_knn,0.0,-1.000000,0.275288,-1.000000
5,lcs_knn,0.0,-1.000000,0.510244,-1.000000
5,cka,0.0,-1.000000,0.834867,-1.000000
5,unbiased_cka,0.0,-1.000000,0.834818,-1.000000
5,cknna,0.0,-1.000000,0.360048,-1.000000
5,svcca,0.0,-1.000000,0.758647,-1.000000
5,edit_distance_knn,0.0,-1.000000,0.773146,-1.000000
